Market,Market full name,Genre,Android,iOS,Total
CAN,カナダ,戦略,25.5,29.7,27.6
QAT,カタール,戦略,,,76.4
HKG,香港,カジノ,61.5,75.1,65.4
ISR,イスラエル,カジノ,59.0,,56.0
NOR,ノルウェイ,カジノ,38.2,,30.9
CHE,スイス,カジノ,33.3,40.8,37.1
SGP,シンガポール,カジノ,32.8,47.8,43.0
TWN,台湾,カジノ,30.7,35.1,33.7
JPN,日本,カジノ,28.7,26.7,28.0
AUT,オーストリア,カジノ,26.3,22.1,24.1
BEL,ベルギー,カジノ,25.0,32.0,25.5
NLD,オランダ,カジノ,23.4,24.4,23.8
FRA,フランス,カジノ,23.3,27.3,24.0
CAN,カナダ,カジノ,22.6,29.4,26.1
AUS,オーストラリア,カジノ,22.1,27.6,23.8
SWE,スウェーデン,カジノ,19.8,19.7,19.8
ITA,イタリア,カジノ,19.3,21.0,19.5
VNM,ベトナム,カジノ,,43.1,30.8
MEX,メキシコ,カジノ,13.4,39.4,19.7
MYS,マレーシア,カジノ,16.3,33.2,18.1
BRA,ブラジル,カジノ,11.4,31.4,14.2
USA,米国,カジノ,19.2,30.8,23.6
PHL,フィリピン,カジノ,9.5,28.6,15.7
KOR,韓国,カジノ,,,73.8
PRI,プエルトリコ,カジノ,,,32.2
IND,インド,カジノ,18.3,,27.9
RUS,ロシア,カジノ,,,26.6
IRL,アイルランド,カジノ,,,26.3
USA,米国,ハイパーカジュアル,1.0,1.1,1.0
CHE,スイス,ハイパーカジュアル,0.8,1.0,0.9
JPN,日本,ハイパーカジュアル,0.8,0.7,0.7
AUS,オーストラリア,ハイパーカジュアル,0.8,0.6,0.8
KOR,韓国,ハイパーカジュアル,0.7,0.9,0.8
NOR,ノルウェイ,ハイパーカジュアル,0.7,0.5,0.6
CAN,カナダ,ハイパーカジュアル,0.6,0.6,0.6
GBR,英国,ハイパーカジュアル,0.6,0.6,0.6
NZL,ニュージーランド,ハイパーカジュアル,0.6,0.6,0.6
AUT,オーストリア,ハイパーカジュアル,0.5,0.7,0.6
HKG,香港,ハイパーカジュアル,0.5,0.8,0.6
TWN,台湾,ハイパーカジュアル,0.5,0.8,0.6
DEU,ドイツ,ハイパーカジュアル,0.5,0.5,0.5
IRL,アイルランド,ハイパーカジュアル,0.4,0.5,0.4
SGP,シンガポール,ハイパーカジュアル,0.4,0.6,0.5
QAT,カタール,ハイパーカジュアル,,0.6,0.4
HKG,香港,すべてのジャンル,34.9,40.9,37.5
ISL,アイスランド,すべてのジャンル,31.8,25.4,27.4
KWT,クウェート,すべてのジャンル,26.4,26.1,26.4
CHE,スイス,すべてのジャンル,25.0,25.7,25.4
SGP,シンガポール,すべてのジャンル,23.9,29.7,26.5
TWN,台湾,すべてのジャンル,22.7,25.0,23.9
NOR,ノルウェイ,すべてのジャンル,21.6,18.0,19.8
QAT,カタール,すべてのジャンル,21.5,35.2,28.0
KOR,韓国,すべてのジャンル,21.2,22.6,21.7
ISR,イスラエル,すべてのジャンル,21.0,21.2,21.1
AUT,オーストリア,すべてのジャンル,20.5,20.0,20.2
EST,エストニア,すべてのジャンル,18.2,16.4,17.2
JPN,日本,すべてのジャンル,18.1,20.9,19.4
SVN,スロベニア,すべてのジャンル,17.7,18.8,17.9
NLD,オランダ,すべてのジャンル,17.3,16.8,17.0
ARE,アラブ首長国連邦,すべてのジャンル,15.0,24.9,22.1
USA,米国,すべてのジャンル,15.5,20.1,17.2
GRC,ギリシャ,すべてのジャンル,14.5,19.2,15.9
AUS,オーストラリア,すべてのジャンル,15.4,18.8,16.8
ALB,アルバニア,すべてのジャンル,,17.2,17.6
