Market,Market full name,Genre,Android,iOS,Total
RUS,러시아,전략,31.2,22.5,25.6
JPN,일본,전략,30.2,34.4,31.6
BEL,벨기에,전략,29.0,28.6,28.8
IRL,아일랜드,전략,28.5,,27.9
USA,미국,전략,28.4,32.8,31.0
KWT,쿠웨이트,전략,,56.9,57.1
VNM,베트남,전략,19.5,41.5,30.1
GRC,그리스,전략,26.2,33.8,29.1
CAN,캐나다,전략,25.5,29.7,27.6
QAT,카타르,전략,,,76.4
HKG,홍콩,카지노,61.5,75.1,65.4
ISR,이스라엘,카지노,59.0,,56.0
NOR,노르웨이,카지노,38.2,,30.9
CHE,스위스,카지노,33.3,40.8,37.1
SGP,싱가포르,카지노,32.8,47.8,43.0
TWN,대만,카지노,30.7,35.1,33.7
JPN,일본,카지노,28.7,26.7,28.0
AUT,오스트리아,카지노,26.3,22.1,24.1
BEL,벨기에,카지노,25.0,32.0,25.5
NLD,네덜란드,카지노,23.4,24.4,23.8
FRA,프랑스,카지노,23.3,27.3,24.0
CAN,캐나다,카지노,22.6,29.4,26.1
AUS,호주,카지노,22.1,27.6,23.8
SWE,스웨덴,카지노,19.8,19.7,19.8
ITA,이탈리아,카지노,19.3,21.0,19.5
VNM,베트남,카지노,,43.1,30.8
MEX,멕시코,카지노,13.4,39.4,19.7
MYS,말레이시아,카지노,16.3,33.2,18.1
BRA,브라질,카지노,11.4,31.4,14.2
USA,미국,카지노,19.2,30.8,23.6
PHL,필리핀,카지노,9.5,28.6,15.7
KOR,한국,카지노,,,73.8
PRI,푸에르토리코,카지노,,,32.2
IND,인도,카지노,18.3,,27.9
RUS,러시아,카지노,,,26.6
IRL,아일랜드,카지노,,,26.3
USA,미국,하이퍼캐주얼,1.0,1.1,1.0
CHE,스위스,하이퍼캐주얼,0.8,1.0,0.9
JPN,일본,하이퍼캐주얼,0.8,0.7,0.7
AUS,호주,하이퍼캐주얼,0.8,0.6,0.8
KOR,한국,하이퍼캐주얼,0.7,0.9,0.8
NOR,노르웨이,하이퍼캐주얼,0.7,0.5,0.6
CAN,캐나다,하이퍼캐주얼,0.6,0.6,0.6
GBR,영국,하이퍼캐주얼,0.6,0.6,0.6
NZL,뉴질랜드,하이퍼캐주얼,0.6,0.6,0.6
AUT,오스트리아,하이퍼캐주얼,0.5,0.7,0.6
HKG,홍콩,하이퍼캐주얼,0.5,0.8,0.6
TWN,대만,하이퍼캐주얼,0.5,0.8,0.6
DEU,독일,하이퍼캐주얼,0.5,0.5,0.5
IRL,아일랜드,하이퍼캐주얼,0.4,0.5,0.4
SGP,싱가포르,하이퍼캐주얼,0.4,0.6,0.5
QAT,카타르,하이퍼캐주얼,,0.6,0.4
HKG,홍콩,모든 장르,34.9,40.9,37.5
ISL,아이슬란드,모든 장르,31.8,25.4,27.4
KWT,쿠웨이트,모든 장르,26.4,26.1,26.4
CHE,스위스,모든 장르,25.0,25.7,25.4
SGP,싱가포르,모든 장르,23.9,29.7,26.5
TWN,대만,모든 장르,22.7,25.0,23.9
NOR,노르웨이,모든 장르,21.6,18.0,19.8
QAT,카타르,모든 장르,21.5,35.2,28.0
KOR,한국,모든 장르,21.2,22.6,21.7
ISR,이스라엘,모든 장르,21.0,21.2,21.1
AUT,오스트리아,모든 장르,20.5,20.0,20.2
EST,에스토니아,모든 장르,18.2,16.4,17.2
JPN,일본,모든 장르,18.1,20.9,19.4
SVN,슬로베니아,모든 장르,17.7,18.8,17.9
NLD,네덜란드,모든 장르,17.3,16.8,17.0
ARE,아랍에미리트,모든 장르,15.0,24.9,22.1
USA,미국,모든 장르,15.5,20.1,17.2
GRC,그리스,모든 장르,14.5,19.2,15.9
AUS,호주,모든 장르,15.4,18.8,16.8
ALB,알바니아,모든 장르,,17.2,17.6
