Tier,Market,Market full name,Revenue,UA Spend,ARPPU,Genre
Europe & Middle East (Group 1),DNK,丹麦,0.002,0.002,25.39,博彩类
East Asia Pacific,KOR,韩国,0.034,0.005,73.78,博彩类
East Asia Pacific,JPN,日本,0.036,0.025,27.36,博彩类
East Asia Pacific,TWN,中国台湾,0.020,0.022,33.68,博彩类
East Asia Pacific,HKG,中国香港,0.008,0.000,64.60,博彩类
East Asia Pacific,SGP,新加坡,0.006,0.002,43.01,博彩类
US and English Language,USA,美国,0.514,0.470,11.02,匹配类
US and English Language,GBR,英国,0.060,0.059,7.80,匹配类
US and English Language,CAN,加拿大,0.024,0.023,9.19,匹配类
US and English Language,AUS,澳大利亚,0.022,0.019,9.88,匹配类
US and English Language,NZL,新西兰,0.003,0.002,10.65,匹配类
US and English Language,IRL,爱尔兰,0.002,0.002,16.17,匹配类
LATAM Spanish Speaking,MEX,墨西哥,0.010,0.014,2.52,匹配类
LATAM Spanish Speaking,CHL,智利,0.003,0.004,7.21,匹配类
LATAM Spanish Speaking,COL,哥伦比亚,0.001,0.002,1.31,匹配类
LATAM Spanish Speaking,ARG,阿根廷,0.001,0.002,0.29,匹配类
LATAM Spanish Speaking,PER,秘鲁,0.001,0.002,1.51,匹配类
LATAM Spanish Speaking,PRI,波多黎各,0.001,0.001,11.96,匹配类
LATAM Spanish Speaking,CRI,哥斯达黎加,0.001,0.001,10.18,匹配类
Global Developing Markets,BRA,巴西,0.015,0.020,1.82,匹配类
Global Developing Markets,THA,泰国,0.003,0.007,6.06,匹配类
Global Developing Markets,IDN,印度尼西亚,0.005,0.004,5.11,匹配类
Global Developing Markets,VNM,越南,0.001,0.003,1.43,匹配类
Global Developing Markets,PHL,菲律宾,0.003,0.006,5.60,匹配类
Global Developing Markets,IND,印度,0.005,0.009,2.06,匹配类
Global Developing Markets,MYS,马来西亚,0.003,0.005,5.75,匹配类
Global Developing Markets,ZAF,南非,0.004,0.005,11.12,匹配类
Global Developing Markets,KAZ,哈萨克斯坦,0.001,0.002,6.43,匹配类
Global Developing Markets,EGY,埃及,0.001,0.002,1.09,匹配类
Europe & Middle East (Group 2),RUS,俄罗斯,0.007,0.007,0.29,匹配类
Europe & Middle East (Group 2),TUR,土耳其,0.008,0.016,5.79,匹配类
Europe & Middle East (Group 2),POL,波兰,0.007,0.009,6.74,匹配类
Europe & Middle East (Group 2),SAU,沙特阿拉伯,0.004,0.006,5.19,匹配类
Europe & Middle East (Group 2),UKR,乌克兰,0.003,0.003,6.21,匹配类
Europe & Middle East (Group 2),ROU,罗马尼亚,0.002,0.004,8.55,匹配类
Europe & Middle East (Group 2),CZE,捷克,0.002,0.003,11.50,匹配类
Europe & Middle East (Group 2),GRC,希腊,0.002,0.003,15.42,匹配类
